a2ps                     Any-to-PostScript filter                                                      https://www.gnu.org/software/a2ps/
ack                      Search tool like grep, but optimized for programmers                          https://beyondgrep.com/
archey4                  Simple system information tool written in Python                              https://github.com/HorlogeSkynet/archey4
aria2                    Download with resuming and segmented downloading                              https://aria2.github.io/
asciidoc                 Formatter/translator for text files to numerous formats                       https://asciidoc-py.github.io/
asdf                     Extendable version manager with support for Ruby, Node.js, Erlang & more      https://asdf-vm.com/
asimov                   Automatically exclude development dependencies from Time Machine backups      https://github.com/stevegrunwell/asimov
ast-grep                 Code searching, linting, rewriting                                            https://github.com/ast-grep/ast-grep
atomicparsley            MPEG-4 command-line tool                                                      https://github.com/wez/atomicparsley
atuin                    Improved shell history for zsh, bash, fish and nushell                        https://github.com/atuinsh/atuin
autoconf                 Automatic configure script builder                                            https://www.gnu.org/software/autoconf
automake                 Tool for generating GNU Standards-compliant Makefiles                         https://www.gnu.org/software/automake/
bash                     Bourne-Again SHell, a UNIX command interpreter                                https://www.gnu.org/software/bash/
bash-completion          Programmable completion for Bash 3.2                                          https://salsa.debian.org/debian/bash-completion
bat                      Clone of cat(1) with syntax highlighting and Git integration                  https://github.com/sharkdp/bat
bfs                      Breadth-first version of find                                                 https://tavianator.com/projects/bfs.html
bison                    Parser generator                                                              https://www.gnu.org/software/bison/
blueutil                 Get/set bluetooth power and discoverable state                                https://github.com/toy/blueutil
boost                    Collection of portable C++ source libraries                                   https://www.boost.org/
cabextract               Extract files from Microsoft cabinet files                                    https://www.cabextract.org.uk/
cdrtools                 CD/DVD/Blu-ray premastering and recording software                            https://cdrtools.sourceforge.net/private/cdrecord.html
certbot                  Tool to obtain certs from Let's Encrypt and autoenable HTTPS                  https://certbot.eff.org/
clang-format             Formatting tools for C, C++, Obj-C, Java, JavaScript, TypeScript              https://clang.llvm.org/docs/ClangFormat.html
cmake                    Cross-platform make                                                           https://www.cmake.org/
cmocka                   Unit testing framework for C                                                  https://cmocka.org/
colordiff                Color-highlighted diff(1) output                                              https://www.colordiff.org/
coreutils                GNU File, Shell, and Text utilities                                           https://www.gnu.org/software/coreutils
cowsay-apj               Configurable talking characters in ASCII art                                  https://cowsay.diamonds
csvkit                   Suite of command-line tools for converting to and working with CSV            https://csvkit.readthedocs.io/
deno                     Secure runtime for JavaScript and TypeScript                                  https://deno.com/
diffutils                File comparison utilities                                                     https://www.gnu.org/s/diffutils/
djview4                  Viewer for the DjVu image format                                              https://djvu.sourceforge.net/djview4.html
djvu2pdf                 Small tool to convert Djvu files to PDF files                                 https://0x2a.at/site/projects/djvu2pdf/
djvulibre                DjVu viewer                                                                   https://djvu.sourceforge.net/
dnsmasq                  Lightweight DNS forwarder and DHCP server                                     https://thekelleys.org.uk/dnsmasq/doc.html
dos2unix                 Convert text between DOS, UNIX, and Mac formats                               https://waterlan.home.xs4all.nl/dos2unix.html
exercism                 Command-line tool to interact with exercism.io                                https://exercism.io/cli/
exiftool                 Perl lib for reading and writing EXIF metadata                                https://exiftool.org
